24,40,15,44,46,'2016-03-07', '21:10:08', '1366', '768', '108', '133', '18', '1IN, '18.5333', '73.8667\n'
13,12,26,17,31,'2016-03-07', '22:10:34', '360', '640', '31', '219', '7', '1IN, '28.6667', '77.2167\n'
15,22,31,23,43,'2016-03-07', '22:20:42', '1366', '768', '758', '130', '7', '1IN, '20.0', '77.0\n'
30,21,38,19,37,'2016-03-07', '22:38:02', '1024', '768', '11', '248', '17', '1IN, '20.0', '77.0\n'
10,24,18,15,22,'2016-03-08', '00:58:14', '1366', '768', '10', '336', '282', '2IN, '18.975', '72.8258\n'
9,5,11,35,27,'2016-03-08', '01:23:07', '360', '640', '83', '216', '16', '2IN, '20.0', '77.0\n'
20,25,19,25,24,'2016-03-08', '01:24:59', '360', '640', '185', '372', '13', '2IN, '20.0', '77.0\n'
24,27,31,33,44,'2016-03-08', '02:06:32', '320', '534', '19', '279', '11', '1IN, '18.975', '72.8258\n'
17,16,46,30,25,'2016-03-08', '02:22:59', '1024', '768', '7', '243', '14', '1IN, '20.0', '77.0\n'
15,32,37,40,28,'2016-03-08', '02:23:48', '1280', '976', '54', '334', '34', '2IN, '20.0', '77.0\n'
33,10,34,14,39,'2016-03-08', '02:26:45', '360', '640', '56', '215', '8', '1IN, '20.0', '77.0\n'
25,26,34,38,33,'2016-03-08', '02:26:53', '1366', '768', '31', '239', '30', '1IN, '20.0', '77.0\n'
31,21,32,32,35,'2016-03-08', '02:32:45', '1280', '800', '56', '180', '14', '1IN, '20.0', '77.0\n'
16,29,26,39,39,'2016-03-08', '02:58:44', '1600', '900', '85', '435', '13', '2IN, '11.25', '75.7667\n'
14,14,23,21,33,'2016-03-08', '03:04:02', '1366', '768', '13', '135', '9', '1IN, '20.0', '77.0\n'
14,11,27,31,26,'2016-03-08', '03:12:44', '1440', '900', '1245', '146', '6', '1IN, '13.0833', '80.2833\n'
34,27,32,24,31,'2016-03-08', '03:33:53', '360', '640', '24', '274', '16', '1IN, '18.975', '72.8258\n'
20,28,21,25,43,'2016-03-08', '03:34:06', '360', '640', '29', '367', '10', '1IN, '20.0', '77.0\n'
32,28,43,36,42,'2016-03-08', '03:48:45', '720', '1280', '11', '277', '42', '1IN, '18.975', '72.8258\n'
24,25,40,43,35,'2016-03-08', '03:49:19', '1366', '768', '3', '228', '13', '1IN, '28.6', '77.2\n'
25,22,31,25,29,'2016-03-08', '03:54:59', '1366', '768', '5', '200', '20', '1IN, '20.0', '77.0\n'
25,25,30,18,38,'2016-03-08', '04:11:34', '720', '1280', '5', '166', '12', '1IN, '14.4333', '79.9667\n'
25,11,38,24,30,'2016-03-08', '05:45:39', '1366', '768', '4', '585', '34', '1IN, '18.5333', '73.8667\n'
36,20,23,31,42,'2016-03-08', '06:05:59', '360', '640', '19', '162', '9', '1IN, '26.9167', '75.8167\n'
32,10,32,32,37,'2016-03-08', '08:01:01', '1366', '768', '21', '258', '17', '1IN, '17.3753', '78.4744\n'
45,41,46,46,46,'2016-03-08', '08:34:46', '600', '976', '2113', '263', '6', '1IN, '20.0', '77.0\n'
18,18,28,26,30,'2016-03-08', '09:23:02', '1366', '768', '12', '163', '50', '1IN, '20.0', '77.0\n'
13,33,32,33,27,'2016-03-08', '09:27:24', '1366', '768', '107', '1157', '10', '1IN, '23.9167', '87.5333\n'
7,29,17,32,34,'2016-03-08', '10:10:47', '360', '640', '5', '214', '9', '1IN, '20.0', '77.0\n'
28,8,34,20,20,'2016-03-08', '10:20:10', '364', '606', '29', '259', '14', '1IN, '27.7167', '75.4833\n'
18,23,29,35,44,'2016-03-08', '11:21:22', '1366', '768', '13', '281', '20', '1IN, '17.45', '78.5\n'
31,33,32,37,30,'2016-03-08', '19:00:26', '1280', '800', '37762', '331', '16', '16IN, '18.975', '72.8258\n'
37,24,41,23,41,'2016-03-08', '21:15:56', '1024', '768', '20', '179', '12', '3IN, '18.975', '72.8258\n'
28,8,40,39,37,'2016-03-08', '21:43:45', '1280', '1024', '2', '229', '20', '1IN, '18.975', '72.8258\n'
17,19,35,22,24,'2016-03-08', '23:10:06', '1366', '768', '10', '181', '17', '1IN, '27.4817', '94.9028\n'
